player,player_id,position,team_name,grades_defense,grades_run_defense,snap_counts_run,rank,Year,index,player_name,year_signed,age,contract_length,value,average/year
Marcell Dareus,6155,DI,BUF,65.0,51.4,328,89.0,2019,498,Marcell Dareus,2019,29,2,"$28,085,000",14042500
Derek Wolfe,7040,ED,DEN,64.7,73.4,388,93.0,2019,963,Derek Wolfe,2019,28,4,"$36,700,000",9175000
Brandon Mebane,3701,DI,SEA,64.5,67.4,323,94.0,2019,396,Brandon Mebane,2019,34,2,"$10,550,000",5275000
Jerry Hughes,5556,ED,IND,62.6,55.8,278,104.0,2019,469,Jerry Hughes,2019,30,2,"$21,500,000",10750000
Billy Winn,7190,DI,CLV,59.8,68.5,250,115.0,2019,391,Billy Winn,2019,30,2,"$1,825,000",912500
Jared Odrick,5553,ED,MIA,59.4,63.0,345,119.0,2019,1158,Jared Odrick,2019,31,5,"$42,500,000",8500000
Tyson Alualu,5535,DI,JAX,57.9,58.0,397,128.0,2019,548,Tyson Alualu,2019,31,2,"$5,750,000",2875000
Clinton McDonald,5173,DI,SEA,57.6,60.1,134,129.0,2019,414,Clinton McDonald,2019,32,1,"$1,250,000",1250000
John Hughes,7088,DI,CLV,55.6,55.9,223,139.0,2019,996,John Hughes,2019,29,4,"$12,800,000",3200000
Dontari Poe,7017,DI,KC,55.5,57.0,340,140.0,2019,608,Dontari Poe,2019,28,3,"$28,000,000",9333333
Cedric Thornton,6607,DI,PHI,53.1,54.0,215,150.0,2019,409,Cedric Thornton,2019,30,1,"$915,000",915000
Geno Atkins,5643,DI,CIN,93.9,90.8,292,1.0,2018,622,Geno Atkins,2018,30,4,"$65,200,000",16300000
J.J. Watt,6163,DI,HST,92.3,91.5,346,3.0,2018,1318,J.J. Watt,2018,29,6,"$100,005,425",16667571
Cameron Wake,4907,ED,MIA,90.9,75.3,318,4.0,2018,757,Cameron Wake,2018,36,2,"$16,125,000",8062500
Muhammad Wilkerson,6182,DI,NYJ,89.6,88.6,434,5.0,2018,676,Muhammad Wilkerson,2018,28,1,"$5,000,000",5000000
Carlos Dunlap,5579,ED,CIN,89.4,79.3,197,6.0,2018,580,Carlos Dunlap,2018,29,3,"$40,650,000",13550000
Jason Pierre-Paul,5540,ED,NYG,83.5,80.9,347,7.0,2018,818,Jason Pierre-Paul,2018,29,4,"$62,000,000",15500000
Gerald McCoy,5528,DI,TB,82.1,73.6,301,10.0,2018,1143,Gerald McCoy,2018,29,6,"$95,200,000",15866667
Justin Houston,6222,ED,KC,81.6,73.6,468,11.0,2018,1174,Justin Houston,2018,29,6,"$101,000,000",16833333
Jurrell Casey,6229,DI,TEN,79.2,83.7,361,14.0,2018,833,Jurrell Casey,2018,28,4,"$60,400,000",15100000
Kyle Williams,3079,DI,BUF,78.7,75.2,319,18.0,2018,657,Kyle Williams,2018,34,1,"$5,500,000",5500000
Charles Johnson,3699,ED,CAR,77.8,54.7,301,20.0,2018,761,Charles Johnson,2018,31,2,"$8,000,000",4000000
Brian Robison,3718,ED,MIN,76.9,63.1,311,23.0,2018,752,Brian Robison,2018,34,2,"$7,500,000",3750000
Michael Johnson,4993,ED,CIN,76.1,75.7,317,26.0,2018,670,Michael Johnson,2018,31,1,"$4,750,000",4750000
Calais Campbell,4364,DI,ARZ,76.0,75.3,330,28.0,2018,755,Calais Campbell,2018,31,4,"$60,000,000",15000000
Michael Bennett,5273,ED,TB,75.7,71.0,316,29.0,2018,669,Michael Bennett,2018,24,1,"$555,000",555000
Nick Fairley,6165,DI,DET,75.5,75.8,192,30.0,2018,866,Nick Fairley,2018,30,4,"$28,000,000",7000000
Ndamukong Suh,5527,DI,DET,75.3,56.5,346,31.0,2018,679,Ndamukong Suh,2018,31,1,"$14,000,000",14000000
Julius Peppers,1010,ED,CHI,74.5,61.3,264,35.0,2018,645,Julius Peppers,2018,38,1,"$5,000,000",5000000
Dan Williams,5551,DI,ARZ,72.8,73.2,263,43.0,2018,1120,Dan Williams,2018,30,4,"$25,000,000",6250000
Linval Joseph,5571,DI,NYG,71.6,68.2,359,48.0,2018,854,Linval Joseph,2018,29,4,"$50,350,000",12587500
Fletcher Cox,7018,DI,PHI,71.0,61.0,205,52.0,2018,972,Fletcher Cox,2018,27,6,"$102,600,000",17100000
Cameron Jordan,6176,ED,NO,70.6,76.4,421,54.0,2018,1096,Cameron Jordan,2018,28,5,"$55,000,000",11000000
Jabaal Sheard,6189,ED,CLV,68.8,74.4,391,63.0,2018,813,Jabaal Sheard,2018,28,3,"$25,500,000",8500000
Courtney Upshaw,7039,ED,BLT,68.6,81.3,375,65.0,2018,590,Courtney Upshaw,2018,28,1,"$790,000",790000
Earl Mitchell,5605,DI,HST,68.5,69.4,208,66.0,2018,796,Earl Mitchell,2018,27,4,"$16,000,000",4000000
Ryan Kerrigan,6168,ED,WAS,68.0,50.1,384,69.0,2018,1222,Ryan Kerrigan,2018,29,5,"$57,500,000",11500000
Haloti Ngata,2957,DI,BLT,67.7,70.1,439,70.0,2018,624,Haloti Ngata,2018,34,1,"$3,000,000",3000000
Ahtyba Rubin,4504,DI,CLV,67.4,78.6,243,71.0,2018,560,Ahtyba Rubin,2018,31,1,"$1,015,000",1015000
Tom Johnson,3378,DI,NO,66.8,57.7,188,77.0,2018,716,Tom Johnson,2018,33,1,"$2,100,000",2100000
Kyle Love,5806,DI,NE,66.6,68.6,273,78.0,2018,845,Kyle Love,2018,31,2,"$2,260,000",1130000
Arthur Jones,5680,DI,BLT,66.2,63.4,356,81.0,2018,1259,Arthur Jones,2018,31,5,"$33,000,000",6600000
Corey Liuget,6170,DI,LAC,65.5,65.4,266,83.0,2018,1112,Corey Liuget,2018,28,5,"$51,250,000",10250000
Paul Soliai,3724,DI,MIA,65.1,58.7,314,87.0,2018,1369,Paul Soliai,2018,34,5,"$32,000,000",6400000
Derrick Shelby,7400,ED,MIA,65.0,60.4,106,89.0,2018,604,Derrick Shelby,2018,29,1,"$2,000,000",2000000
Marcell Dareus,6155,DI,BUF,65.0,51.4,328,89.0,2018,1194,Marcell Dareus,2018,28,6,"$96,574,118",16095686
Derek Wolfe,7040,ED,DEN,64.7,73.4,388,93.0,2018,963,Derek Wolfe,2018,27,4,"$36,700,000",9175000
Brandon Mebane,3701,DI,SEA,64.5,67.4,323,94.0,2018,928,Brandon Mebane,2018,33,3,"$13,500,000",4500000
Stephen Paea,6205,DI,CHI,63.6,50.1,219,97.0,2018,1228,Stephen Paea,2018,29,4,"$21,000,000",5250000
Chris Long,4316,ED,LA,63.1,46.9,307,99.0,2018,764,Chris Long,2018,32,2,"$4,500,000",2250000
Alan Branch,3649,DI,SEA,63.0,56.1,282,100.0,2018,738,Alan Branch,2018,33,2,"$8,450,000",4225000
Jerry Hughes,5556,ED,IND,62.6,55.8,278,104.0,2018,1167,Jerry Hughes,2018,29,5,"$45,000,000",9000000
Michael Brockers,7020,DI,LA,61.9,66.8,263,107.0,2018,1032,Michael Brockers,2018,27,3,"$33,250,000",11083333
Kendall Reyes,7052,DI,LAC,61.8,53.7,184,109.0,2018,653,Kendall Reyes,2018,28,1,"$790,000",790000
Cliff Avril,4406,ED,DET,61.4,50.3,272,110.0,2018,1107,Cliff Avril,2018,31,4,"$28,500,000",7125000
Frostee Rucker,3036,ED,CLV,60.4,58.6,294,113.0,2018,619,Frostee Rucker,2018,34,1,"$1,040,000",1040000
Jared Odrick,5553,ED,MIA,59.4,63.0,345,119.0,2018,1158,Jared Odrick,2018,30,5,"$42,500,000",8500000
Roy Miller,5004,DI,TB,58.3,59.1,221,127.0,2018,1220,Roy Miller,2018,30,4,"$16,250,000",4062500
Tyson Alualu,5535,DI,JAX,57.9,58.0,397,128.0,2018,900,Tyson Alualu,2018,28,2,"$6,000,000",3000000
Clinton McDonald,5173,DI,SEA,57.6,60.1,134,129.0,2018,589,Clinton McDonald,2018,31,2,"$7,000,000",3500000
Jarvis Jenkins,6193,DI,WAS,57.2,64.6,235,134.0,2018,629,Jarvis Jenkins,2018,29,1,"$880,000",880000
John Hughes,7088,DI,CLV,55.6,55.9,223,139.0,2018,637,John Hughes,2018,30,1,"$790,000",790000
Dontari Poe,7017,DI,KC,55.5,57.0,340,140.0,2018,608,Dontari Poe,2018,27,3,"$28,000,000",9333333
Cedric Thornton,6607,DI,PHI,53.1,54.0,215,150.0,2018,937,Cedric Thornton,2018,29,4,"$17,000,000",4250000
Tyson Jackson,4926,DI,KC,51.9,56.3,306,154.0,2018,1396,Tyson Jackson,2018,31,5,"$25,000,000",5000000
Kendall Langford,4380,DI,LA,51.6,51.6,316,155.0,2018,652,Kendall Langford,2018,32,1,"$1,015,000",1015000
Letroy Guion,4466,DI,MIN,49.5,43.8,239,156.0,2018,1021,Letroy Guion,2018,30,3,"$11,050,000",3683333
Geno Atkins,5643,DI,CIN,93.9,90.8,292,1.0,2017,1309,Geno Atkins,2017,28,5,"$53,327,000",10665400
J.J. Watt,6163,DI,HST,92.3,91.5,346,3.0,2017,1318,J.J. Watt,2017,28,6,"$100,005,425",16667571
Cameron Wake,4907,ED,MIA,90.9,75.3,318,4.0,2017,757,Cameron Wake,2017,35,2,"$16,125,000",8062500
Muhammad Wilkerson,6182,DI,NYJ,89.6,88.6,434,5.0,2017,1036,Muhammad Wilkerson,2017,27,5,"$86,000,000",17200000
Carlos Dunlap,5579,ED,CIN,89.4,79.3,197,6.0,2017,1418,Carlos Dunlap,2017,28,5,"$39,370,000",7874000
Jason Pierre-Paul,5540,ED,NYG,83.5,80.9,347,7.0,2017,818,Jason Pierre-Paul,2017,28,4,"$62,000,000",15500000
Gerald McCoy,5528,DI,TB,82.1,73.6,301,10.0,2017,1143,Gerald McCoy,2017,28,6,"$95,200,000",15866667
Justin Houston,6222,ED,KC,81.6,73.6,468,11.0,2017,1174,Justin Houston,2017,28,6,"$101,000,000",16833333
Jurrell Casey,6229,DI,TEN,79.2,83.7,361,14.0,2017,833,Jurrell Casey,2017,27,4,"$60,400,000",15100000
Chris Clemons,1585,ED,SEA,78.9,54.4,310,17.0,2017,1279,Chris Clemons,2017,35,4,"$17,500,000",4375000
Kyle Williams,3079,DI,BUF,78.7,75.2,319,18.0,2017,1186,Kyle Williams,2017,30,3,"$22,300,000",7433333
Charles Johnson,3699,ED,CAR,77.8,54.7,301,20.0,2017,761,Charles Johnson,2017,30,2,"$8,000,000",4000000
Brian Robison,3718,ED,MIN,76.9,63.1,311,23.0,2017,752,Brian Robison,2017,33,2,"$7,500,000",3750000
Michael Johnson,4993,ED,CIN,76.1,75.7,317,26.0,2017,1200,Michael Johnson,2017,30,4,"$20,000,000",5000000
Calais Campbell,4364,DI,ARZ,76.0,75.3,330,28.0,2017,755,Calais Campbell,2017,30,4,"$60,000,000",15000000
Michael Bennett,5273,ED,TB,75.7,71.0,316,29.0,2017,1031,Michael Bennett,2017,32,3,"$30,500,000",10166667
Nick Fairley,6165,DI,DET,75.5,75.8,192,30.0,2017,866,Nick Fairley,2017,29,4,"$28,000,000",7000000
Ndamukong Suh,5527,DI,DET,75.3,56.5,346,31.0,2017,1205,Ndamukong Suh,2017,30,6,"$114,375,000",19062500
Mario Williams,2946,ED,BUF,74.9,71.4,388,33.0,2017,1025,Mario Williams,2017,32,2,"$17,000,000",8500000
Julius Peppers,1010,ED,CHI,74.5,61.3,264,35.0,2017,831,Julius Peppers,2017,37,1,"$3,500,000",3500000
Desmond Bryant,5204,DI,LV,74.2,67.9,263,36.0,2017,966,Desmond Bryant,2017,31,2,"$4,250,000",2125000
Dan Williams,5551,DI,ARZ,72.8,73.2,263,43.0,2017,1120,Dan Williams,2017,29,4,"$25,000,000",6250000
Henry Melton,5028,DI,CHI,71.8,52.4,204,46.0,2017,1314,Henry Melton,2017,30,4,"$27,501,000",6875250
Linval Joseph,5571,DI,NYG,71.6,68.2,359,48.0,2017,854,Linval Joseph,2017,28,4,"$50,350,000",12587500
Fletcher Cox,7018,DI,PHI,71.0,61.0,205,52.0,2017,972,Fletcher Cox,2017,26,6,"$102,600,000",17100000
Jason Hatcher,3037,DI,DAL,70.7,75.7,301,53.0,2017,1325,Jason Hatcher,2017,34,4,"$27,500,000",6875000
Cameron Jordan,6176,ED,NO,70.6,76.4,421,54.0,2017,1096,Cameron Jordan,2017,27,5,"$55,000,000",11000000
Jared Allen,1847,ED,MIN,70.3,62.8,386,55.0,2017,1323,Jared Allen,2017,34,4,"$32,000,000",8000000
Jabaal Sheard,6189,ED,CLV,68.8,74.4,391,63.0,2017,813,Jabaal Sheard,2017,27,3,"$25,500,000",8500000
Courtney Upshaw,7039,ED,BLT,68.6,81.3,375,65.0,2017,772,Courtney Upshaw,2017,27,1,"$1,150,000",1150000
Earl Mitchell,5605,DI,HST,68.5,69.4,208,66.0,2017,796,Earl Mitchell,2017,26,4,"$16,000,000",4000000
Ryan Kerrigan,6168,ED,WAS,68.0,50.1,384,69.0,2017,1222,Ryan Kerrigan,2017,28,5,"$57,500,000",11500000
Haloti Ngata,2957,DI,BLT,67.7,70.1,439,70.0,2017,978,Haloti Ngata,2017,32,2,"$12,000,000",6000000
Ahtyba Rubin,4504,DI,CLV,67.4,78.6,243,71.0,2017,734,Ahtyba Rubin,2017,31,1,"$900,000",900000
Tom Johnson,3378,DI,NO,66.8,57.7,188,77.0,2017,1233,Tom Johnson,2017,32,3,"$7,000,000",2333333
Kyle Love,5806,DI,NE,66.6,68.6,273,78.0,2017,845,Kyle Love,2017,30,2,"$2,260,000",1130000
Arthur Jones,5680,DI,BLT,66.2,63.4,356,81.0,2017,744,Arthur Jones,2017,31,1,"$900,000",900000
Corey Liuget,6170,DI,LAC,65.5,65.4,266,83.0,2017,1112,Corey Liuget,2017,27,5,"$51,250,000",10250000
Cam Thomas,5669,DI,LAC,65.1,58.6,186,87.0,2017,756,Cam Thomas,2017,30,1,"$900,000",900000
Paul Soliai,3724,DI,MIA,65.1,58.7,314,87.0,2017,1042,Paul Soliai,2017,33,2,"$7,000,000",3500000
Derrick Shelby,7400,ED,MIA,65.0,60.4,106,89.0,2017,965,Derrick Shelby,2017,28,4,"$18,000,000",4500000
Marcell Dareus,6155,DI,BUF,65.0,51.4,328,89.0,2017,1194,Marcell Dareus,2017,27,6,"$96,574,118",16095686
Derek Wolfe,7040,ED,DEN,64.7,73.4,388,93.0,2017,963,Derek Wolfe,2017,26,4,"$36,700,000",9175000
Brandon Mebane,3701,DI,SEA,64.5,67.4,323,94.0,2017,928,Brandon Mebane,2017,32,3,"$13,500,000",4500000
Stephen Paea,6205,DI,CHI,63.6,50.1,219,97.0,2017,886,Stephen Paea,2017,28,1,"$2,000,000",2000000
Chris Long,4316,ED,LA,63.1,46.9,307,99.0,2017,764,Chris Long,2017,31,2,"$4,500,000",2250000
Alan Branch,3649,DI,SEA,63.0,56.1,282,100.0,2017,738,Alan Branch,2017,32,2,"$8,450,000",4225000
Jerry Hughes,5556,ED,IND,62.6,55.8,278,104.0,2017,1167,Jerry Hughes,2017,28,5,"$45,000,000",9000000
Michael Brockers,7020,DI,LA,61.9,66.8,263,107.0,2017,1032,Michael Brockers,2017,26,3,"$33,250,000",11083333
Cliff Avril,4406,ED,DET,61.4,50.3,272,110.0,2017,1107,Cliff Avril,2017,30,4,"$28,500,000",7125000
Frostee Rucker,3036,ED,CLV,60.4,58.6,294,113.0,2017,804,Frostee Rucker,2017,33,1,"$1,080,000",1080000
Billy Winn,7190,DI,CLV,59.8,68.5,250,115.0,2017,747,Billy Winn,2017,28,1,"$775,000",775000
Jared Odrick,5553,ED,MIA,59.4,63.0,345,119.0,2017,1158,Jared Odrick,2017,29,5,"$42,500,000",8500000
C.J. Wilson,5753,DI,GB,59.4,64.0,189,119.0,2017,754,C.J. Wilson,2017,29,1,"$980,000",980000
Roy Miller,5004,DI,TB,58.3,59.1,221,127.0,2017,877,Roy Miller,2017,30,1,"$1,400,000",1400000
Tyson Alualu,5535,DI,JAX,57.9,58.0,397,128.0,2017,900,Tyson Alualu,2017,27,2,"$6,000,000",3000000
Clinton McDonald,5173,DI,SEA,57.6,60.1,134,129.0,2017,1282,Clinton McDonald,2017,30,4,"$12,000,000",3000000
Jarvis Jenkins,6193,DI,WAS,57.2,64.6,235,134.0,2017,816,Jarvis Jenkins,2017,28,1,"$825,000",825000
John Hughes,7088,DI,CLV,55.6,55.9,223,139.0,2017,824,John Hughes,2017,29,1,"$775,000",775000
Dontari Poe,7017,DI,KC,55.5,57.0,340,140.0,2017,794,Dontari Poe,2017,26,1,"$8,000,000",8000000
Sen'Derrick Marks,4985,DI,TEN,53.6,52.1,315,146.0,2017,881,Sen'Derrick Marks,2017,30,1,"$1,600,000",1600000
Cedric Thornton,6607,DI,PHI,53.1,54.0,215,150.0,2017,759,Cedric Thornton,2017,29,1,"$775,000",775000
Red Bryant,4435,ED,SEA,52.9,50.0,322,152.0,2017,1373,Red Bryant,2017,32,4,"$19,000,000",4750000
Tyson Jackson,4926,DI,KC,51.9,56.3,306,154.0,2017,1396,Tyson Jackson,2017,30,5,"$25,000,000",5000000
Kendall Langford,4380,DI,LA,51.6,51.6,316,155.0,2017,840,Kendall Langford,2017,31,1,"$900,000",900000
Letroy Guion,4466,DI,MIN,49.5,43.8,239,156.0,2017,1021,Letroy Guion,2017,29,3,"$11,050,000",3683333
Geno Atkins,5643,DI,CIN,93.9,90.8,292,1.0,2016,1309,Geno Atkins,2016,27,5,"$53,327,000",10665400
J.J. Watt,6163,DI,HST,92.3,91.5,346,3.0,2016,1318,J.J. Watt,2016,27,6,"$100,005,425",16667571
Cameron Wake,4907,ED,MIA,90.9,75.3,318,4.0,2016,935,Cameron Wake,2016,34,2,"$15,000,000",7500000
Muhammad Wilkerson,6182,DI,NYJ,89.6,88.6,434,5.0,2016,1036,Muhammad Wilkerson,2016,26,5,"$86,000,000",17200000
Carlos Dunlap,5579,ED,CIN,89.4,79.3,197,6.0,2016,1418,Carlos Dunlap,2016,27,5,"$39,370,000",7874000
Jason Pierre-Paul,5540,ED,NYG,83.5,80.9,347,7.0,2016,990,Jason Pierre-Paul,2016,27,1,"$10,000,000",10000000
Gerald McCoy,5528,DI,TB,82.1,73.6,301,10.0,2016,1143,Gerald McCoy,2016,27,6,"$95,200,000",15866667
Justin Houston,6222,ED,KC,81.6,73.6,468,11.0,2016,1174,Justin Houston,2016,27,6,"$101,000,000",16833333
Jurrell Casey,6229,DI,TEN,79.2,83.7,361,14.0,2016,1173,Jurrell Casey,2016,25,4,"$36,000,000",9000000
Chris Clemons,1585,ED,SEA,78.9,54.4,310,17.0,2016,942,Chris Clemons,2016,34,1,"$1,500,000",1500000
Kyle Williams,3079,DI,BUF,78.7,75.2,319,18.0,2016,1186,Kyle Williams,2016,29,3,"$22,300,000",7433333
Charles Johnson,3699,ED,CAR,77.8,54.7,301,20.0,2016,938,Charles Johnson,2016,29,1,"$3,000,000",3000000
Brian Robison,3718,ED,MIN,76.9,63.1,311,23.0,2016,1266,Brian Robison,2016,32,4,"$22,400,000",5600000
