player,player_id,position,team_name,grades_offense,grades_run_block,snap_counts_block,rank,Year,index,player_name,year_signed,age,contract_length,value,average/year
Nate Solder,6169,T,NE,81.0,80.7,1383,21.0,2020,765,Nate Solder,2020,31,4,"$62,000,000",15500000
Alex Mack,4944,C,CLV,79.7,82.3,1031,30.0,2020,1014,Alex Mack,2020,34,5,"$45,000,000",9000000
Matt Kalil,7010,T,MIN,78.6,72.4,1096,34.0,2020,953,Matt Kalil,2020,30,5,"$55,500,000",11100000
Russell Okung,5531,T,SEA,78.4,70.8,1050,37.0,2020,976,Russell Okung,2020,31,4,"$53,000,000",13250000
Anthony Castonzo,6174,T,IND,77.8,84.0,1259,42.0,2020,221,Anthony Castonzo,2020,31,2,"$33,000,000",16500000
Rodger Saffold,5558,T,LA,77.3,68.8,600,48.0,2020,586,Rodger Saffold,2020,31,4,"$44,000,000",11000000
Andrew Whitworth,3000,T,CIN,75.7,59.4,1042,55.0,2020,219,Andrew Whitworth,2020,38,3,"$30,000,077",10000026
Kevin Zeitler,7032,G,CIN,75.4,70.4,1099,57.0,2020,530,Kevin Zeitler,2020,29,3,"$32,000,000",10666667
Maurkice Pouncey,5543,C,PIT,75.1,75.2,930,58.0,2020,559,Maurkice Pouncey,2020,30,2,"$22,000,000",11000000
Richie Incognito,2298,G,MIA,73.8,71.8,1027,64.0,2020,361,Richie Incognito,2020,36,2,"$12,700,000",6350000
Mitchell Schwartz,7041,T,CLV,72.9,67.0,1031,71.0,2020,570,Mitchell Schwartz,2020,31,3,"$24,455,000",8151667
Kelechi Osemele,7062,T,BLT,72.5,76.5,1299,76.0,2020,324,Kelechi Osemele,2020,31,1,"$1,187,500",1187500
Cordy Glenn,7045,T,BUF,71.1,70.8,803,82.0,2020,1053,Cordy Glenn,2020,30,5,"$60,000,000",12000000
Ramon Foster,5229,G,PIT,70.1,62.4,1010,86.0,2020,582,Ramon Foster,2020,34,2,"$8,250,000",4125000
Ben Jones,7099,G,HST,69.4,71.8,783,89.0,2020,409,Ben Jones,2020,31,2,"$13,500,000",6750000
Stefen Wisniewski,6200,C,LV,68.1,59.3,1007,103.0,2020,374,Stefen Wisniewski,2020,30,2,"$2,850,000",1425000
Demar Dotson,5410,T,TB,67.7,65.4,986,104.0,2020,269,Demar Dotson,2020,34,1,"$1,500,000",1500000
Marshall Newhouse,5692,T,GB,67.6,55.1,1229,107.0,2020,340,Marshall Newhouse,2020,31,1,"$1,050,000",1050000
Bobby Massie,7112,T,ARZ,63.7,72.3,1052,128.0,2020,414,Bobby Massie,2020,30,4,"$32,000,000",8000000
Brandon Fusco,6324,G,MIN,63.2,66.1,943,133.0,2020,642,Brandon Fusco,2020,31,3,"$12,750,000",4250000
Dennis Kelly,7146,T,PHI,57.4,60.0,685,152.0,2020,270,Dennis Kelly,2020,30,3,"$17,250,000",5750000
Joe Staley,3644,T,SF,92.2,92.4,1152,2.0,2019,506,Joe Staley,2019,34,2,"$28,000,000",14000000
Duane Brown,4340,T,HST,90.1,88.5,1265,3.0,2019,682,Duane Brown,2019,33,3,"$34,500,000",11500000
John Sullivan,4501,C,MIN,84.7,83.9,1096,8.0,2019,719,John Sullivan,2019,33,2,"$10,750,000",5375000
Marshal Yanda,3702,G,BLT,84.2,82.4,1194,10.0,2019,552,Marshal Yanda,2019,34,1,"$10,000,000",10000000
Alex Boone,5372,G,SF,82.4,81.8,1195,14.0,2019,1012,Alex Boone,2019,31,4,"$26,800,000",6700000
Mike Iupati,5542,G,SF,81.8,86.6,1173,17.0,2019,566,Mike Iupati,2019,31,1,"$2,750,000",2750000
Andre Smith,4929,T,CIN,81.2,86.3,1095,19.0,2019,628,Andre Smith,2019,32,2,"$8,000,000",4000000
Nate Solder,6169,T,NE,81.0,80.7,1383,21.0,2019,765,Nate Solder,2019,30,4,"$62,000,000",15500000
Trent Williams,5529,T,WAS,80.4,78.8,1025,26.0,2019,1370,Trent Williams,2019,31,5,"$68,000,000",13600000
Jared Veldheer,5594,T,LV,79.7,72.8,1078,30.0,2019,494,Jared Veldheer,2019,31,1,"$3,500,000",3500000
Alex Mack,4944,C,CLV,79.7,82.3,1031,30.0,2019,1014,Alex Mack,2019,33,5,"$45,000,000",9000000
Matt Kalil,7010,T,MIN,78.6,72.4,1096,34.0,2019,556,Matt Kalil,2019,29,1,"$7,500,000",7500000
Mike Pouncey,6167,C,MIA,78.5,75.3,1032,36.0,2019,567,Mike Pouncey,2019,30,1,"$9,000,000",9000000
Russell Okung,5531,T,SEA,78.4,70.8,1050,37.0,2019,976,Russell Okung,2019,30,4,"$53,000,000",13250000
Donald Penn,3459,T,TB,78.1,77.4,1047,38.0,2019,460,Donald Penn,2019,36,1,"$2,030,000",2030000
Josh Sitton,4449,G,GB,77.4,73.1,1227,46.0,2019,731,Josh Sitton,2019,32,2,"$13,500,000",6750000
Rodger Saffold,5558,T,LA,77.3,68.8,600,48.0,2019,586,Rodger Saffold,2019,30,4,"$44,000,000",11000000
Orlando Franklin,6198,T,DEN,76.2,76.0,1226,53.0,2019,1338,Orlando Franklin,2019,31,5,"$36,500,000",7300000
Andrew Whitworth,3000,T,CIN,75.7,59.4,1042,55.0,2019,823,Andrew Whitworth,2019,37,3,"$33,750,000",11250000
Kevin Zeitler,7032,G,CIN,75.4,70.4,1099,57.0,2019,530,Kevin Zeitler,2019,28,3,"$32,000,000",10666667
Maurkice Pouncey,5543,C,PIT,75.1,75.2,930,58.0,2019,559,Maurkice Pouncey,2019,29,2,"$22,000,000",11000000
Richie Incognito,2298,G,MIA,73.8,71.8,1027,64.0,2019,585,Richie Incognito,2019,35,1,"$1,030,000",1030000
Austin Howard,5847,T,NYJ,73.0,81.1,1073,69.0,2019,828,Austin Howard,2019,32,3,"$15,025,000",5008333
Mitchell Schwartz,7041,T,CLV,72.9,67.0,1031,71.0,2019,570,Mitchell Schwartz,2019,30,3,"$24,455,000",8151667
Kelechi Osemele,7062,T,BLT,72.5,76.5,1299,76.0,2019,1113,Kelechi Osemele,2019,29,5,"$58,500,000",11700000
Cordy Glenn,7045,T,BUF,71.1,70.8,803,82.0,2019,1053,Cordy Glenn,2019,29,5,"$60,000,000",12000000
Ramon Foster,5229,G,PIT,70.1,62.4,1010,86.0,2019,582,Ramon Foster,2019,33,2,"$8,250,000",4125000
J'Marcus Webb,5741,T,CHI,69.6,66.6,1046,88.0,2019,480,J'Marcus Webb,2019,30,1,"$1,020,000",1020000
Evan Smith,5390,C,GB,69.4,71.2,588,89.0,2019,686,Evan Smith,2019,32,2,"$4,000,000",2000000
Ben Jones,7099,G,HST,69.4,71.8,783,89.0,2019,409,Ben Jones,2019,30,2,"$13,500,000",6750000
Clint Boling,6253,G,CIN,69.3,63.8,1104,92.0,2019,1240,Clint Boling,2019,29,5,"$26,000,000",5200000
Stefen Wisniewski,6200,C,LV,68.1,59.3,1007,103.0,2019,601,Stefen Wisniewski,2019,30,1,"$1,500,000",1500000
T.J. Lang,5032,G,GB,67.7,65.7,1124,104.0,2019,984,T.J. Lang,2019,31,3,"$28,500,000",9500000
Marshall Newhouse,5692,T,GB,67.6,55.1,1229,107.0,2019,553,Marshall Newhouse,2019,30,1,"$1,120,000",1120000
Ted Larsen,5728,C,TB,64.5,62.9,843,123.0,2019,604,Ted Larsen,2019,31,1,"$1,020,000",1020000
John Jerry,5598,G,MIA,64.5,59.2,1034,123.0,2019,508,John Jerry,2019,32,1,"$930,000",930000
Bobby Massie,7112,T,ARZ,63.7,72.3,1052,128.0,2019,414,Bobby Massie,2019,29,4,"$32,000,000",8000000
Derek Newton,6366,T,HST,63.4,65.0,864,130.0,2019,677,Derek Newton,2019,31,2,"$1,845,000",922500
Brandon Fusco,6324,G,MIN,63.2,66.1,943,133.0,2019,642,Brandon Fusco,2019,30,3,"$12,750,000",4250000
Jeff Allen,7642,G,KC,62.8,63.0,814,137.0,2019,498,Jeff Allen,2019,29,1,"$2,260,000",2260000
Duane Brown,4340,T,HST,90.1,88.5,1265,3.0,2018,682,Duane Brown,2018,32,3,"$34,500,000",11500000
Max Unger,4972,C,SEA,86.2,87.0,1115,4.0,2018,1142,Max Unger,2018,32,3,"$22,200,000",7400000
John Sullivan,4501,C,MIN,84.7,83.9,1096,8.0,2018,719,John Sullivan,2018,32,2,"$10,750,000",5375000
Marshal Yanda,3702,G,BLT,84.2,82.4,1194,10.0,2018,1317,Marshal Yanda,2018,34,4,"$31,917,647",7979412
Jon Asamoah,5593,G,KC,83.5,80.4,989,12.0,2018,1475,Jon Asamoah,2018,29,5,"$22,500,000",4500000
Alex Boone,5372,G,SF,82.4,81.8,1195,14.0,2018,1012,Alex Boone,2018,30,4,"$26,800,000",6700000
Mike Iupati,5542,G,SF,81.8,86.6,1173,17.0,2018,1333,Mike Iupati,2018,30,5,"$40,000,000",8000000
Andre Smith,4929,T,CIN,81.2,86.3,1095,19.0,2018,628,Andre Smith,2018,31,2,"$8,000,000",4000000
Nate Solder,6169,T,NE,81.0,80.7,1383,21.0,2018,765,Nate Solder,2018,29,4,"$62,000,000",15500000
Eugene Monroe,4931,T,JAX,80.5,77.7,1062,25.0,2018,1443,Eugene Monroe,2018,30,5,"$37,500,000",7500000
Trent Williams,5529,T,WAS,80.4,78.8,1025,26.0,2018,1370,Trent Williams,2018,30,5,"$68,000,000",13600000
Jared Veldheer,5594,T,LV,79.7,72.8,1078,30.0,2018,1459,Jared Veldheer,2018,30,5,"$35,000,000",7000000
Alex Mack,4944,C,CLV,79.7,82.3,1031,30.0,2018,1014,Alex Mack,2018,32,5,"$45,000,000",9000000
Andy Levitre,4974,G,BUF,78.6,71.8,1011,34.0,2018,1576,Andy Levitre,2018,31,6,"$46,800,000",7800000
Matt Kalil,7010,T,MIN,78.6,72.4,1096,34.0,2018,953,Matt Kalil,2018,28,5,"$55,500,000",11100000
Mike Pouncey,6167,C,MIA,78.5,75.3,1032,36.0,2018,764,Mike Pouncey,2018,28,2,"$15,000,000",7500000
Russell Okung,5531,T,SEA,78.4,70.8,1050,37.0,2018,976,Russell Okung,2018,29,4,"$53,000,000",13250000
Donald Penn,3459,T,TB,78.1,77.4,1047,38.0,2018,878,Donald Penn,2018,35,2,"$18,700,000",9350000
Branden Albert,4329,T,KC,78.0,64.9,705,39.0,2018,1399,Branden Albert,2018,33,5,"$47,000,000",9400000
Anthony Castonzo,6174,T,IND,77.8,84.0,1259,42.0,2018,1213,Anthony Castonzo,2018,30,4,"$43,812,000",10953000
John Greco,4379,G,CLV,77.6,82.7,691,44.0,2018,717,John Greco,2018,32,1,"$1,105,000",1105000
Josh Sitton,4449,G,GB,77.4,73.1,1227,46.0,2018,731,Josh Sitton,2018,31,2,"$13,500,000",6750000
Rodger Saffold,5558,T,LA,77.3,68.8,600,48.0,2018,1525,Rodger Saffold,2018,29,5,"$42,500,000",8500000
Orlando Franklin,6198,T,DEN,76.2,76.0,1226,53.0,2018,771,Orlando Franklin,2018,30,1,"$630,000",630000
Andrew Whitworth,3000,T,CIN,75.7,59.4,1042,55.0,2018,823,Andrew Whitworth,2018,36,3,"$33,750,000",11250000
Sam Baker,4335,T,ATL,75.5,65.2,1189,56.0,2018,1714,Sam Baker,2018,32,6,"$41,100,000",6850000
Kevin Zeitler,7032,G,CIN,75.4,70.4,1099,57.0,2018,939,Kevin Zeitler,2018,28,5,"$60,000,000",12000000
Maurkice Pouncey,5543,C,PIT,75.1,75.2,930,58.0,2018,1499,Maurkice Pouncey,2018,28,5,"$44,136,625",8827325
Zane Beadles,5570,G,DEN,74.2,72.1,1236,62.0,2018,810,Zane Beadles,2018,31,1,"$915,000",915000
Richie Incognito,2298,G,MIA,73.8,71.8,1027,64.0,2018,1162,Richie Incognito,2018,34,3,"$15,750,000",5250000
Austin Howard,5847,T,NYJ,73.0,81.1,1073,69.0,2018,633,Austin Howard,2018,31,1,"$3,750,000",3750000
Mitchell Schwartz,7041,T,CLV,72.9,67.0,1031,71.0,2018,1151,Mitchell Schwartz,2018,28,5,"$33,000,000",6600000
Kelechi Osemele,7062,T,BLT,72.5,76.5,1299,76.0,2018,1113,Kelechi Osemele,2018,28,5,"$58,500,000",11700000
King Dunlap,4544,T,PHI,72.2,63.9,818,77.0,2018,1306,King Dunlap,2018,32,4,"$28,000,000",7000000
Jermon Bushrod,3741,T,NO,71.8,71.1,1103,78.0,2018,713,Jermon Bushrod,2018,33,1,"$1,105,000",1105000
Matt Slauson,5117,G,NYJ,71.7,67.3,820,79.0,2018,757,Matt Slauson,2018,32,1,"$2,500,000",2500000
Cordy Glenn,7045,T,BUF,71.1,70.8,803,82.0,2018,1053,Cordy Glenn,2018,28,5,"$60,000,000",12000000
Ramon Foster,5229,G,PIT,70.1,62.4,1010,86.0,2018,1159,Ramon Foster,2018,32,3,"$9,600,000",3200000
J'Marcus Webb,5741,T,CHI,69.6,66.6,1046,88.0,2018,698,J'Marcus Webb,2018,29,1,"$790,000",790000
Evan Smith,5390,C,GB,69.4,71.2,588,89.0,2018,686,Evan Smith,2018,31,2,"$4,000,000",2000000
Ben Jones,7099,G,HST,69.4,71.8,783,89.0,2018,1027,Ben Jones,2018,28,4,"$17,500,000",4375000
Clint Boling,6253,G,CIN,69.3,63.8,1104,92.0,2018,1240,Clint Boling,2018,28,5,"$26,000,000",5200000
Jeremy Zuttah,4397,G,TB,69.3,65.7,1018,92.0,2018,908,Jeremy Zuttah,2018,32,2,"$3,600,000",1800000
Eric Wood,4951,C,BUF,68.5,61.3,872,96.0,2018,884,Eric Wood,2018,31,2,"$16,000,000",8000000
Stefen Wisniewski,6200,C,LV,68.1,59.3,1007,103.0,2018,982,Stefen Wisniewski,2018,28,3,"$8,025,000",2675000
Demar Dotson,5410,T,TB,67.7,65.4,986,104.0,2018,1064,Demar Dotson,2018,32,3,"$16,500,000",5500000
T.J. Lang,5032,G,GB,67.7,65.7,1124,104.0,2018,984,T.J. Lang,2018,30,3,"$28,500,000",9500000
Marshall Newhouse,5692,T,GB,67.6,55.1,1229,107.0,2018,753,Marshall Newhouse,2018,29,1,"$1,500,000",1500000
Michael Oher,4946,T,BLT,66.7,58.0,1340,109.0,2018,1145,Michael Oher,2018,32,3,"$21,600,000",7200000
Ted Larsen,5728,C,TB,64.5,62.9,843,123.0,2018,986,Ted Larsen,2018,30,3,"$5,650,000",1883333
John Jerry,5598,G,MIA,64.5,59.2,1034,123.0,2018,915,John Jerry,2018,31,3,"$10,000,000",3333333
Bobby Massie,7112,T,ARZ,63.7,72.3,1052,128.0,2018,1030,Bobby Massie,2018,28,3,"$18,000,000",6000000
Derek Newton,6366,T,HST,63.4,65.0,864,130.0,2018,677,Derek Newton,2018,30,2,"$1,845,000",922500
Breno Giacomini,4464,T,SEA,63.3,67.5,1144,131.0,2018,644,Breno Giacomini,2018,32,1,"$3,015,000",3015000
Brandon Fusco,6324,G,MIN,63.2,66.1,943,133.0,2018,642,Brandon Fusco,2018,29,3,"$12,750,000",4250000
Shawn Lauvao,5616,G,CLV,62.9,61.8,1031,136.0,2018,784,Shawn Lauvao,2018,30,1,"$1,500,000",1500000
Jeff Allen,7642,G,KC,62.8,63.0,814,137.0,2018,710,Jeff Allen,2018,28,1,"$790,000",790000
Zach Strief,3155,T,NO,62.5,61.7,786,140.0,2018,1565,Zach Strief,2018,34,5,"$20,000,000",4000000
Byron Bell,6848,T,CAR,61.2,59.6,943,145.0,2018,652,Byron Bell,2018,29,1,"$1,600,000",1600000
Amini Silatolu,7044,G,CAR,59.5,65.9,882,148.0,2018,627,Amini Silatolu,2018,29,1,"$880,000",880000
Dennis Kelly,7146,T,PHI,57.4,60.0,685,152.0,2018,874,Dennis Kelly,2018,28,2,"$3,050,000",1525000
Joe Staley,3644,T,SF,92.2,92.4,1152,2.0,2017,1828,Joe Staley,2017,29,6,"$44,650,000",7441667
Duane Brown,4340,T,HST,90.1,88.5,1265,3.0,2017,1797,Duane Brown,2017,31,6,"$53,400,000",8900000
Max Unger,4972,C,SEA,86.2,87.0,1115,4.0,2017,1142,Max Unger,2017,31,3,"$22,200,000",7400000
Nick Mangold,2974,C,NYJ,84.8,84.0,1066,7.0,2017,2014,Nick Mangold,2017,32,7,"$54,075,000",7725000
John Sullivan,4501,C,MIN,84.7,83.9,1096,8.0,2017,916,John Sullivan,2017,31,1,"$999,999",999999
Marshal Yanda,3702,G,BLT,84.2,82.4,1194,10.0,2017,1317,Marshal Yanda,2017,33,4,"$31,917,647",7979412
Jon Asamoah,5593,G,KC,83.5,80.4,989,12.0,2017,1475,Jon Asamoah,2017,28,5,"$22,500,000",4500000
Alex Boone,5372,G,SF,82.4,81.8,1195,14.0,2017,815,Alex Boone,2017,30,1,"$900,000",900000
Mike Iupati,5542,G,SF,81.8,86.6,1173,17.0,2017,1333,Mike Iupati,2017,29,5,"$40,000,000",8000000
Andre Smith,4929,T,CIN,81.2,86.3,1095,19.0,2017,817,Andre Smith,2017,30,1,"$3,250,000",3250000
Ryan Clady,4326,T,DEN,81.1,68.7,1206,20.0,2017,1708,Ryan Clady,2017,30,5,"$52,500,000",10500000
Eugene Monroe,4931,T,JAX,80.5,77.7,1062,25.0,2017,1443,Eugene Monroe,2017,29,5,"$37,500,000",7500000
Trent Williams,5529,T,WAS,80.4,78.8,1025,26.0,2017,1370,Trent Williams,2017,29,5,"$68,000,000",13600000
Joe Thomas,3619,T,CLV,80.1,62.6,1031,28.0,2017,1982,Joe Thomas,2017,32,7,"$80,500,000",11500000
Jared Veldheer,5594,T,LV,79.7,72.8,1078,30.0,2017,1459,Jared Veldheer,2017,29,5,"$35,000,000",7000000
Alex Mack,4944,C,CLV,79.7,82.3,1031,30.0,2017,1014,Alex Mack,2017,31,5,"$45,000,000",9000000
Andy Levitre,4974,G,BUF,78.6,71.8,1011,34.0,2017,1576,Andy Levitre,2017,30,6,"$46,800,000",7800000
Matt Kalil,7010,T,MIN,78.6,72.4,1096,34.0,2017,953,Matt Kalil,2017,27,5,"$55,500,000",11100000
Mike Pouncey,6167,C,MIA,78.5,75.3,1032,36.0,2017,1335,Mike Pouncey,2017,27,5,"$44,750,000",8950000
Russell Okung,5531,T,SEA,78.4,70.8,1050,37.0,2017,976,Russell Okung,2017,28,4,"$53,000,000",13250000
Donald Penn,3459,T,TB,78.1,77.4,1047,38.0,2017,878,Donald Penn,2017,34,2,"$18,700,000",9350000
Branden Albert,4329,T,KC,78.0,64.9,705,39.0,2017,1399,Branden Albert,2017,32,5,"$47,000,000",9400000
Anthony Castonzo,6174,T,IND,77.8,84.0,1259,42.0,2017,1213,Anthony Castonzo,2017,29,4,"$43,812,000",10953000
John Greco,4379,G,CLV,77.6,82.7,691,44.0,2017,914,John Greco,2017,32,1,"$900,000",900000
Josh Sitton,4449,G,GB,77.4,73.1,1227,46.0,2017,1108,Josh Sitton,2017,31,3,"$21,000,000",7000000
Jahri Evans,3053,G,NO,77.4,72.1,1105,46.0,2017,896,Jahri Evans,2017,33,1,"$2,250,000",2250000
Rodger Saffold,5558,T,LA,77.3,68.8,600,48.0,2017,1525,Rodger Saffold,2017,28,5,"$42,500,000",8500000
Orlando Franklin,6198,T,DEN,76.2,76.0,1226,53.0,2017,966,Orlando Franklin,2017,29,1,"$775,000",775000
Andrew Whitworth,3000,T,CIN,75.7,59.4,1042,55.0,2017,823,Andrew Whitworth,2017,35,3,"$33,750,000",11250000
Sam Baker,4335,T,ATL,75.5,65.2,1189,56.0,2017,1714,Sam Baker,2017,31,6,"$41,100,000",6850000
Kevin Zeitler,7032,G,CIN,75.4,70.4,1099,57.0,2017,939,Kevin Zeitler,2017,27,5,"$60,000,000",12000000
Maurkice Pouncey,5543,C,PIT,75.1,75.2,930,58.0,2017,1499,Maurkice Pouncey,2017,27,5,"$44,136,625",8827325
Gosder Cherilus,4331,T,DET,74.7,72.4,1198,61.0,2017,1638,Gosder Cherilus,2017,32,5,"$35,000,000",7000000
Zane Beadles,5570,G,DEN,74.2,72.1,1236,62.0,2017,1201,Zane Beadles,2017,30,3,"$9,750,000",3250000
Chris Hairston,6274,T,BUF,73.9,78.9,568,63.0,2017,1046,Chris Hairston,2017,27,2,"$2,900,000",1450000
Richie Incognito,2298,G,MIA,73.8,71.8,1027,64.0,2017,1162,Richie Incognito,2017,33,3,"$15,750,000",5250000
Eric Winston,3011,T,KC,73.0,75.8,1051,69.0,2017,883,Eric Winston,2017,33,1,"$1,080,000",1080000
Austin Howard,5847,T,NYJ,73.0,81.1,1073,69.0,2017,828,Austin Howard,2017,30,3,"$15,025,000",5008333
Mitchell Schwartz,7041,T,CLV,72.9,67.0,1031,71.0,2017,1151,Mitchell Schwartz,2017,27,5,"$33,000,000",6600000
Kraig Urbik,5002,G,BUF,72.7,67.7,783,74.0,2017,1120,Kraig Urbik,2017,31,2,"$2,500,000",1250000
Kelechi Osemele,7062,T,BLT,72.5,76.5,1299,76.0,2017,1113,Kelechi Osemele,2017,27,5,"$58,500,000",11700000
King Dunlap,4544,T,PHI,72.2,63.9,818,77.0,2017,1306,King Dunlap,2017,31,4,"$28,000,000",7000000
Jermon Bushrod,3741,T,NO,71.8,71.1,1103,78.0,2017,909,Jermon Bushrod,2017,32,1,"$3,000,000",3000000
Matt Slauson,5117,G,NYJ,71.7,67.3,820,79.0,2017,1139,Matt Slauson,2017,31,2,"$4,000,000",2000000
Cordy Glenn,7045,T,BUF,71.1,70.8,803,82.0,2017,1053,Cordy Glenn,2017,27,5,"$60,000,000",12000000
Ramon Foster,5229,G,PIT,70.1,62.4,1010,86.0,2017,1159,Ramon Foster,2017,31,3,"$9,600,000",3200000
J'Marcus Webb,5741,T,CHI,69.6,66.6,1046,88.0,2017,1084,J'Marcus Webb,2017,28,2,"$5,750,000",2875000
Evan Smith,5390,C,GB,69.4,71.2,588,89.0,2017,1444,Evan Smith,2017,30,4,"$14,250,000",3562500
Ben Jones,7099,G,HST,69.4,71.8,783,89.0,2017,1027,Ben Jones,2017,27,4,"$17,500,000",4375000
Clint Boling,6253,G,CIN,69.3,63.8,1104,92.0,2017,1240,Clint Boling,2017,27,5,"$26,000,000",5200000
Jeremy Zuttah,4397,G,TB,69.3,65.7,1018,92.0,2017,908,Jeremy Zuttah,2017,31,2,"$3,600,000",1800000
Eric Wood,4951,C,BUF,68.5,61.3,872,96.0,2017,884,Eric Wood,2017,30,2,"$16,000,000",8000000
Stefen Wisniewski,6200,C,LV,68.1,59.3,1007,103.0,2017,982,Stefen Wisniewski,2017,27,3,"$8,025,000",2675000
Demar Dotson,5410,T,TB,67.7,65.4,986,104.0,2017,1064,Demar Dotson,2017,31,3,"$16,500,000",5500000
T.J. Lang,5032,G,GB,67.7,65.7,1124,104.0,2017,984,T.J. Lang,2017,29,3,"$28,500,000",9500000
Marshall Newhouse,5692,T,GB,67.6,55.1,1229,107.0,2017,950,Marshall Newhouse,2017,28,2,"$3,500,000",1750000
Michael Oher,4946,T,BLT,66.7,58.0,1340,109.0,2017,1145,Michael Oher,2017,31,3,"$21,600,000",7200000
Kory Lichtensteiger,4422,G,WAS,65.7,64.9,1019,117.0,2017,1674,Kory Lichtensteiger,2017,31,5,"$17,500,000",3500000
Mackenzy Bernadeau,4564,G,DAL,65.0,66.3,1101,121.0,2017,1131,Mackenzy Bernadeau,2017,31,2,"$3,000,000",1500000
Ted Larsen,5728,C,TB,64.5,62.9,843,123.0,2017,986,Ted Larsen,2017,29,3,"$5,650,000",1883333
John Jerry,5598,G,MIA,64.5,59.2,1034,123.0,2017,915,John Jerry,2017,30,3,"$10,000,000",3333333
Bobby Massie,7112,T,ARZ,63.7,72.3,1052,128.0,2017,1030,Bobby Massie,2017,27,3,"$18,000,000",6000000
Derek Newton,6366,T,HST,63.4,65.0,864,130.0,2017,875,Derek Newton,2017,29,3,"$10,000,000",3333333
Breno Giacomini,4464,T,SEA,63.3,67.5,1144,131.0,2017,840,Breno Giacomini,2017,31,1,"$2,750,000",2750000
Jah Reid,6237,G,BLT,63.3,64.3,568,131.0,2017,895,Jah Reid,2017,29,1,"$775,000",775000
Brandon Fusco,6324,G,MIN,63.2,66.1,943,133.0,2017,837,Brandon Fusco,2017,28,1,"$1,400,000",1400000
Shawn Lauvao,5616,G,CLV,62.9,61.8,1031,136.0,2017,1536,Shawn Lauvao,2017,29,4,"$17,000,000",4250000
Jeff Allen,7642,G,KC,62.8,63.0,814,137.0,2017,1092,Jeff Allen,2017,27,4,"$28,000,000",7000000
Doug Free,3738,T,DAL,62.8,68.5,1022,137.0,2017,1255,Doug Free,2017,33,3,"$15,000,000",5000000
Zach Strief,3155,T,NO,62.5,61.7,786,140.0,2017,1565,Zach Strief,2017,33,5,"$20,000,000",4000000
Byron Bell,6848,T,CAR,61.2,59.6,943,145.0,2017,846,Byron Bell,2017,28,1,"$2,000,000",2000000
Khalif Barnes,2269,T,LV,60.7,60.3,558,146.0,2017,941,Khalif Barnes,2017,35,1,"$1,000,000",1000000
Amini Silatolu,7044,G,CAR,59.5,65.9,882,148.0,2017,816,Amini Silatolu,2017,28,1,"$885,000",885000
Dennis Kelly,7146,T,PHI,57.4,60.0,685,152.0,2017,874,Dennis Kelly,2017,27,2,"$3,050,000",1525000
Evan Mathis,2296,G,PHI,92.8,92.9,1124,1.0,2016,1076,Evan Mathis,2016,34,1,"$4,006,900",4006900
